35.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
Execute Anonymous: SObjectData d = new SObjectData('Test_objects__c');
Execute Anonymous: d.addValuePair('Name', 'x');
Execute Anonymous: 
Execute Anonymous: SObjectData d1 = new SObjectData('Test_objects__c');
Execute Anonymous: d1.addValuePair('Name', 'x');
Execute Anonymous: d1.setParent(d);
Execute Anonymous: 
Execute Anonymous: d.addChild(d1);
Execute Anonymous: 
Execute Anonymous: ScoringSchemeHelper h = new ScoringSchemeHelper();
Execute Anonymous: h.createSObjects(new List<SObjectData> { d} );
15:22:27.166 (166626124)|EXECUTION_STARTED
15:22:27.166 (166641286)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
15:22:27.187 (187004048)|VARIABLE_SCOPE_BEGIN|[1]|d|SObjectData|true|false
15:22:27.187 (187025257)|VARIABLE_SCOPE_BEGIN|[4]|d1|SObjectData|true|false
15:22:27.198 (198021242)|VARIABLE_SCOPE_BEGIN|[10]|h|ScoringSchemeHelper|true|false
15:22:27.198 (198206273)|HEAP_ALLOCATE|[72]|Bytes:3
15:22:27.198 (198273637)|HEAP_ALLOCATE|[77]|Bytes:152
15:22:27.198 (198310541)|HEAP_ALLOCATE|[342]|Bytes:408
15:22:27.198 (198351778)|HEAP_ALLOCATE|[355]|Bytes:408
15:22:27.198 (198390334)|HEAP_ALLOCATE|[467]|Bytes:48
15:22:27.198 (198443739)|HEAP_ALLOCATE|[139]|Bytes:6
15:22:27.198 (198477469)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
15:22:27.198 (198564288)|STATEMENT_EXECUTE|[1]
15:22:27.198 (198571880)|STATEMENT_EXECUTE|[1]
15:22:27.198 (198582238)|HEAP_ALLOCATE|[1]|Bytes:34
15:22:27.198 (198667707)|METHOD_ENTRY|[1]|01p58000000n6Fr|SObjectData.SObjectData()
15:22:27.198 (198684361)|STATEMENT_EXECUTE|[1]
15:22:27.198 (198698613)|STATEMENT_EXECUTE|[1]
15:22:27.198 (198788116)|HEAP_ALLOCATE|[50]|Bytes:5
15:22:27.198 (198830435)|HEAP_ALLOCATE|[56]|Bytes:5
15:22:27.198 (198853486)|HEAP_ALLOCATE|[64]|Bytes:7
15:22:27.198 (198892603)|SYSTEM_MODE_ENTER|false
15:22:27.198 (198921251)|HEAP_ALLOCATE|[1]|Bytes:5
15:22:27.198 (198934745)|SYSTEM_MODE_EXIT|false
15:22:27.198 (198949667)|METHOD_EXIT|[1]|SObjectData
15:22:27.199 (199079907)|HEAP_ALLOCATE|[1]|Bytes:20
15:22:27.199 (199093678)|HEAP_ALLOCATE|[1]|Bytes:15
15:22:27.199 (199139925)|SYSTEM_MODE_ENTER|false
15:22:27.199 (199167839)|HEAP_ALLOCATE|[1]|Bytes:5
15:22:27.199 (199198780)|CONSTRUCTOR_ENTRY|[1]|01p58000000n6Fr|<init>(String)
