35.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
Execute Anonymous: SObjectData d = new SObjectData('Test_objects__c');
Execute Anonymous: Map<String, String> x = new Map<String, String>();
Execute Anonymous: x.put('Name', 'x');
Execute Anonymous: 
Execute Anonymous: SObjectData d1 = new SObjectData('Test_objects__c');
Execute Anonymous: d1.setParent(d);
Execute Anonymous: 
Execute Anonymous: d.addChild(d1);
Execute Anonymous: 
Execute Anonymous: ScoringSchemeHelper h = new ScoringSchemeHelper();
Execute Anonymous: h.createSObjects(new List<SObjectData> { d} );
14:09:07.055 (55021044)|EXECUTION_STARTED
14:09:07.055 (55032910)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
14:09:07.057 (57071004)|VARIABLE_SCOPE_BEGIN|[1]|d|SObjectData|true|false
14:09:07.057 (57084116)|VARIABLE_SCOPE_BEGIN|[5]|d1|SObjectData|true|false
14:09:07.059 (59054738)|VARIABLE_SCOPE_BEGIN|[10]|h|ScoringSchemeHelper|true|false
14:09:07.059 (59072206)|VARIABLE_SCOPE_BEGIN|[2]|x|Map<String,String>|true|false
14:09:07.059 (59235009)|HEAP_ALLOCATE|[72]|Bytes:3
14:09:07.059 (59295446)|HEAP_ALLOCATE|[77]|Bytes:152
14:09:07.059 (59317213)|HEAP_ALLOCATE|[342]|Bytes:408
14:09:07.059 (59339125)|HEAP_ALLOCATE|[355]|Bytes:408
14:09:07.059 (59362764)|HEAP_ALLOCATE|[467]|Bytes:48
14:09:07.059 (59405111)|HEAP_ALLOCATE|[139]|Bytes:6
14:09:07.059 (59435863)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
14:09:07.059 (59486476)|STATEMENT_EXECUTE|[1]
14:09:07.059 (59491134)|STATEMENT_EXECUTE|[1]
14:09:07.059 (59498028)|HEAP_ALLOCATE|[1]|Bytes:34
14:09:07.059 (59541282)|METHOD_ENTRY|[1]|01p58000000n6Fr|SObjectData.SObjectData()
14:09:07.059 (59546817)|STATEMENT_EXECUTE|[1]
14:09:07.059 (59551112)|STATEMENT_EXECUTE|[1]
14:09:07.059 (59593717)|HEAP_ALLOCATE|[50]|Bytes:5
14:09:07.059 (59621907)|HEAP_ALLOCATE|[56]|Bytes:5
14:09:07.059 (59633216)|HEAP_ALLOCATE|[64]|Bytes:7
14:09:07.059 (59657355)|SYSTEM_MODE_ENTER|false
14:09:07.059 (59680706)|HEAP_ALLOCATE|[1]|Bytes:5
14:09:07.059 (59688964)|SYSTEM_MODE_EXIT|false
14:09:07.059 (59700534)|METHOD_EXIT|[1]|SObjectData
14:09:07.059 (59783924)|HEAP_ALLOCATE|[1]|Bytes:20
14:09:07.059 (59792603)|HEAP_ALLOCATE|[1]|Bytes:15
14:09:07.059 (59820759)|SYSTEM_MODE_ENTER|false
14:09:07.059 (59851058)|HEAP_ALLOCATE|[1]|Bytes:5
14:09:07.059 (59869866)|CONSTRUCTOR_ENTRY|[1]|01p58000000n6Fr|<init>(String)
14:09:07.059 (59912623)|VARIABLE_SCOPE_BEGIN|[7]|this|SObjectData|true|false
14:09:07.059 (59972494)|VARIABLE_ASSIGNMENT|[7]|this|{}|0x4e512223
14:09:07.059 (59984337)|VARIABLE_SCOPE_BEGIN|[7]|sobjectType|String|false|false
14:09:07.059 (59996523)|VARIABLE_ASSIGNMENT|[7]|sobjectType|"Test_objects__c"
14:09:07.060 (60006741)|HEAP_ALLOCATE|[2]|Bytes:5
14:09:07.060 (60012988)|STATEMENT_EXECUTE|[1]
14:09:07.060 (60017175)|HEAP_ALLOCATE|[2]|Bytes:5
14:09:07.060 (60020448)|STATEMENT_EXECUTE|[2]
14:09:07.060 (60028805)|HEAP_ALLOCATE|[2]|Bytes:4
14:09:07.060 (60072868)|VARIABLE_ASSIGNMENT|[2]|this.fieldMap|{"s":1,"v":{}}|0x4e512223
14:09:07.060 (60078817)|STATEMENT_EXECUTE|[3]
14:09:07.060 (60081518)|STATEMENT_EXECUTE|[4]
14:09:07.060 (60083799)|STATEMENT_EXECUTE|[5]
14:09:07.060 (60098321)|HEAP_ALLOCATE|[2]|Bytes:6
14:09:07.060 (60114136)|VARIABLE_SCOPE_BEGIN|[2]|this|System.ApexBaseClass|true|false
14:09:07.060 (60139590)|VARIABLE_ASSIGNMENT|[2]|this|{"fieldMap":"0x24af7ec9"}|0x4e512223
14:09:07.060 (60151949)|STATEMENT_EXECUTE|[7]
