28.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
17:12:19.092 (92969128)|ENTERING_MANAGED_PKG|Risk
17:12:19.093 (93123345)|HEAP_ALLOCATE|[72]|Bytes:3
17:12:19.093 (93170323)|HEAP_ALLOCATE|[77]|Bytes:152
17:12:19.093 (93191159)|HEAP_ALLOCATE|[342]|Bytes:408
17:12:19.093 (93215189)|HEAP_ALLOCATE|[355]|Bytes:408
17:12:19.093 (93236594)|HEAP_ALLOCATE|[467]|Bytes:48
17:12:19.093 (93270271)|HEAP_ALLOCATE|[139]|Bytes:6
17:12:19.093 (93408368)|HEAP_ALLOCATE|[50]|Bytes:5
17:12:19.093 (93429163)|HEAP_ALLOCATE|[56]|Bytes:5
17:12:19.093 (93439401)|HEAP_ALLOCATE|[64]|Bytes:7
17:12:19.108 (108175648)|SOQL_EXECUTE_BEGIN|[43]|Aggregations:0|SELECT Id, Name, Risk__Impact_Category__c FROM Score_Band_Entry__c WHERE Impact_Category__c = :tmpVar1
17:12:19.120 (120783589)|SOQL_EXECUTE_END|[43]|Rows:0
