35.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
Execute Anonymous: SObjectData d = new SObjectData('Test_objects__c');
Execute Anonymous: Map<String, String> x = new Map<String, String>();
Execute Anonymous: x.put('Name', 'x');
Execute Anonymous: 
Execute Anonymous: SObjectData d1 = new SObjectData('Test_objects__c');
Execute Anonymous: d1.setParent(d);
Execute Anonymous: 
Execute Anonymous: d.addChild(d1);
Execute Anonymous: 
Execute Anonymous: ScoringSchemeHelper h = new ScoringSchemeHelper();
Execute Anonymous: h.createSObjects(new List<SObjectData> { d} );
14:15:26.050 (50247240)|EXECUTION_STARTED
14:15:26.050 (50259556)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
14:15:26.051 (51618660)|VARIABLE_SCOPE_BEGIN|[1]|d|SObjectData|true|false
14:15:26.051 (51632603)|VARIABLE_SCOPE_BEGIN|[5]|d1|SObjectData|true|false
14:15:26.053 (53540804)|VARIABLE_SCOPE_BEGIN|[10]|h|ScoringSchemeHelper|true|false
14:15:26.053 (53557872)|VARIABLE_SCOPE_BEGIN|[2]|x|Map<String,String>|true|false
14:15:26.053 (53722270)|HEAP_ALLOCATE|[72]|Bytes:3
14:15:26.053 (53782299)|HEAP_ALLOCATE|[77]|Bytes:152
14:15:26.053 (53803694)|HEAP_ALLOCATE|[342]|Bytes:408
14:15:26.053 (53830078)|HEAP_ALLOCATE|[355]|Bytes:408
14:15:26.053 (53852879)|HEAP_ALLOCATE|[467]|Bytes:48
14:15:26.053 (53895282)|HEAP_ALLOCATE|[139]|Bytes:6
14:15:26.053 (53927001)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
14:15:26.053 (53973873)|STATEMENT_EXECUTE|[1]
14:15:26.053 (53979575)|STATEMENT_EXECUTE|[1]
14:15:26.053 (53987143)|HEAP_ALLOCATE|[1]|Bytes:34
14:15:26.054 (54030511)|METHOD_ENTRY|[1]|01p58000000n6Fr|SObjectData.SObjectData()
14:15:26.054 (54036660)|STATEMENT_EXECUTE|[1]
14:15:26.054 (54040514)|STATEMENT_EXECUTE|[1]
14:15:26.054 (54082027)|HEAP_ALLOCATE|[50]|Bytes:5
14:15:26.054 (54109115)|HEAP_ALLOCATE|[56]|Bytes:5
14:15:26.054 (54120051)|HEAP_ALLOCATE|[64]|Bytes:7
14:15:26.054 (54144412)|SYSTEM_MODE_ENTER|false
14:15:26.054 (54165640)|HEAP_ALLOCATE|[1]|Bytes:5
14:15:26.054 (54173793)|SYSTEM_MODE_EXIT|false
14:15:26.054 (54185469)|METHOD_EXIT|[1]|SObjectData
14:15:26.054 (54275410)|HEAP_ALLOCATE|[1]|Bytes:20
14:15:26.054 (54283511)|HEAP_ALLOCATE|[1]|Bytes:15
14:15:26.054 (54310143)|SYSTEM_MODE_ENTER|false
14:15:26.054 (54329316)|HEAP_ALLOCATE|[1]|Bytes:5
14:15:26.054 (54354748)|CONSTRUCTOR_ENTRY|[1]|01p58000000n6Fr|<init>(String)
14:15:26.054 (54392854)|VARIABLE_SCOPE_BEGIN|[7]|this|SObjectData|true|false
14:15:26.054 (54451390)|VARIABLE_ASSIGNMENT|[7]|this|{}|0x7464c77e
14:15:26.054 (54458186)|VARIABLE_SCOPE_BEGIN|[7]|sobjectType|String|false|false
14:15:26.054 (54469627)|VARIABLE_ASSIGNMENT|[7]|sobjectType|"Test_objects__c"
14:15:26.054 (54481110)|HEAP_ALLOCATE|[2]|Bytes:5
14:15:26.054 (54486295)|STATEMENT_EXECUTE|[1]
14:15:26.054 (54489894)|HEAP_ALLOCATE|[2]|Bytes:5
14:15:26.054 (54492855)|STATEMENT_EXECUTE|[2]
14:15:26.054 (54501131)|HEAP_ALLOCATE|[2]|Bytes:4
14:15:26.054 (54551703)|VARIABLE_ASSIGNMENT|[2]|this.fieldMap|{"s":1,"v":{}}|0x7464c77e
14:15:26.054 (54557320)|STATEMENT_EXECUTE|[3]
14:15:26.054 (54559682)|STATEMENT_EXECUTE|[4]
14:15:26.054 (54561546)|STATEMENT_EXECUTE|[5]
14:15:26.054 (54576701)|HEAP_ALLOCATE|[2]|Bytes:6
14:15:26.054 (54594785)|VARIABLE_SCOPE_BEGIN|[2]|this|System.ApexBaseClass|true|false
14:15:26.054 (54624308)|VARIABLE_ASSIGNMENT|[2]|this|{"fieldMap":"0x5b917b04"}|0x7464c77e
14:15:26.054 (54635987)|STATEMENT_EXECUTE|[7]
