35.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
Execute Anonymous: SObjectData d = new SObjectData('Test_objects__c');
Execute Anonymous: d.addValuePair('Name', 'x');
Execute Anonymous: 
Execute Anonymous: SObjectData d1 = new SObjectData('Test_objects__c');
Execute Anonymous: d1.addValuePair('Name', 'x');
Execute Anonymous: d1.setParent(d);
Execute Anonymous: 
Execute Anonymous: d.addChild(d1);
Execute Anonymous: 
Execute Anonymous: ScoringSchemeHelper h = new ScoringSchemeHelper();
Execute Anonymous: h.createSObjects(new List<SObjectData> { d} );
14:16:25.048 (48051502)|EXECUTION_STARTED
14:16:25.048 (48061793)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
14:16:25.049 (49814371)|VARIABLE_SCOPE_BEGIN|[1]|d|SObjectData|true|false
14:16:25.049 (49826796)|VARIABLE_SCOPE_BEGIN|[4]|d1|SObjectData|true|false
14:16:25.051 (51922716)|VARIABLE_SCOPE_BEGIN|[10]|h|ScoringSchemeHelper|true|false
14:16:25.052 (52099750)|HEAP_ALLOCATE|[72]|Bytes:3
14:16:25.052 (52164314)|HEAP_ALLOCATE|[77]|Bytes:152
14:16:25.052 (52187502)|HEAP_ALLOCATE|[342]|Bytes:408
14:16:25.052 (52209444)|HEAP_ALLOCATE|[355]|Bytes:408
14:16:25.052 (52230523)|HEAP_ALLOCATE|[467]|Bytes:48
14:16:25.052 (52273326)|HEAP_ALLOCATE|[139]|Bytes:6
14:16:25.052 (52305039)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
14:16:25.052 (52357386)|STATEMENT_EXECUTE|[1]
14:16:25.052 (52361681)|STATEMENT_EXECUTE|[1]
14:16:25.052 (52368345)|HEAP_ALLOCATE|[1]|Bytes:34
14:16:25.052 (52409370)|METHOD_ENTRY|[1]|01p58000000n6Fr|SObjectData.SObjectData()
14:16:25.052 (52415647)|STATEMENT_EXECUTE|[1]
14:16:25.052 (52419989)|STATEMENT_EXECUTE|[1]
14:16:25.052 (52460274)|HEAP_ALLOCATE|[50]|Bytes:5
14:16:25.052 (52488071)|HEAP_ALLOCATE|[56]|Bytes:5
14:16:25.052 (52499672)|HEAP_ALLOCATE|[64]|Bytes:7
14:16:25.052 (52525122)|SYSTEM_MODE_ENTER|false
14:16:25.052 (52547000)|HEAP_ALLOCATE|[1]|Bytes:5
14:16:25.052 (52554893)|SYSTEM_MODE_EXIT|false
14:16:25.052 (52567077)|METHOD_EXIT|[1]|SObjectData
14:16:25.052 (52655016)|HEAP_ALLOCATE|[1]|Bytes:20
14:16:25.052 (52663349)|HEAP_ALLOCATE|[1]|Bytes:15
14:16:25.052 (52691327)|SYSTEM_MODE_ENTER|false
14:16:25.052 (52711287)|HEAP_ALLOCATE|[1]|Bytes:5
14:16:25.052 (52732580)|CONSTRUCTOR_ENTRY|[1]|01p58000000n6Fr|<init>(String)
