35.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
11:46:59.390 (390282941)|EXECUTION_STARTED
11:46:59.390 (390355131)|CODE_UNIT_STARTED|[EXTERNAL]|01p58000000nl6e|BusinessUnitRelationshipHelperTest.testUpdateRelationships
11:46:59.390 (390627656)|HEAP_ALLOCATE|[72]|Bytes:3
11:46:59.390 (390693636)|HEAP_ALLOCATE|[77]|Bytes:152
11:46:59.390 (390720250)|HEAP_ALLOCATE|[342]|Bytes:408
11:46:59.390 (390748147)|HEAP_ALLOCATE|[355]|Bytes:408
11:46:59.390 (390773316)|HEAP_ALLOCATE|[467]|Bytes:48
11:46:59.390 (390818379)|HEAP_ALLOCATE|[139]|Bytes:6
11:46:59.390 (390846547)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:138
11:46:59.390 (390870105)|METHOD_ENTRY|[2]|01p58000000nl6e|BusinessUnitRelationshipHelperTest.BusinessUnitRelationshipHelperTest()
11:46:59.390 (390876006)|STATEMENT_EXECUTE|[2]
11:46:59.390 (390882452)|STATEMENT_EXECUTE|[2]
11:46:59.390 (390920343)|HEAP_ALLOCATE|[50]|Bytes:5
11:46:59.390 (390948107)|HEAP_ALLOCATE|[56]|Bytes:5
11:46:59.390 (390958878)|HEAP_ALLOCATE|[64]|Bytes:7
11:46:59.391 (391489296)|SYSTEM_MODE_ENTER|false
11:46:59.391 (391512858)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
11:46:59.391 (391523014)|SYSTEM_MODE_EXIT|false
11:46:59.391 (391536807)|METHOD_EXIT|[2]|BusinessUnitRelationshipHelperTest
11:46:59.391 (391584320)|SYSTEM_MODE_ENTER|false
11:46:59.391 (391590341)|HEAP_ALLOCATE|[4]|Bytes:5
11:46:59.391 (391595641)|STATEMENT_EXECUTE|[3]
11:46:59.391 (391598235)|STATEMENT_EXECUTE|[4]
11:46:59.391 (391679060)|HEAP_ALLOCATE|[4]|Bytes:4
11:46:59.391 (391827841)|VARIABLE_SCOPE_BEGIN|[4]|parent|grc__Business_Unit__c|true|false
11:46:59.391 (391862289)|VARIABLE_ASSIGNMENT|[4]|parent|{}|0x6e7dc713
11:46:59.391 (391867341)|STATEMENT_EXECUTE|[5]
11:46:59.391 (391871924)|HEAP_ALLOCATE|[5]|Bytes:6
11:46:59.391 (391993737)|VARIABLE_ASSIGNMENT|[5]|this.Name|"parent"|0x6e7dc713
11:46:59.392 (392001295)|STATEMENT_EXECUTE|[6]
11:46:59.392 (392083311)|VARIABLE_ASSIGNMENT|[6]|this.Risk__Sharing_Group_Name__c|"parent"|0x6e7dc713
11:46:59.392 (392090576)|STATEMENT_EXECUTE|[8]
11:46:59.392 (392108141)|HEAP_ALLOCATE|[8]|Bytes:4
11:46:59.392 (392129645)|VARIABLE_SCOPE_BEGIN|[8]|child1|grc__Business_Unit__c|true|false
11:46:59.392 (392143880)|VARIABLE_ASSIGNMENT|[8]|child1|{}|0x2e1f7003
11:46:59.392 (392157177)|STATEMENT_EXECUTE|[9]
11:46:59.392 (392162714)|HEAP_ALLOCATE|[9]|Bytes:6
11:46:59.392 (392234618)|VARIABLE_ASSIGNMENT|[9]|this.Name|"child1"|0x2e1f7003
11:46:59.392 (392241740)|STATEMENT_EXECUTE|[10]
11:46:59.392 (392315266)|VARIABLE_ASSIGNMENT|[10]|this.Risk__Sharing_Group_Name__c|"child1"|0x2e1f7003
11:46:59.392 (392322266)|STATEMENT_EXECUTE|[12]
11:46:59.392 (392339126)|HEAP_ALLOCATE|[12]|Bytes:4
11:46:59.392 (392359851)|VARIABLE_SCOPE_BEGIN|[12]|child2|grc__Business_Unit__c|true|false
11:46:59.392 (392373574)|VARIABLE_ASSIGNMENT|[12]|child2|{}|0x14996c80
11:46:59.392 (392378089)|STATEMENT_EXECUTE|[13]
11:46:59.392 (392382192)|HEAP_ALLOCATE|[13]|Bytes:6
11:46:59.392 (392450624)|VARIABLE_ASSIGNMENT|[13]|this.Name|"child2"|0x14996c80
11:46:59.392 (392457596)|STATEMENT_EXECUTE|[14]
11:46:59.392 (392530298)|VARIABLE_ASSIGNMENT|[14]|this.Risk__Sharing_Group_Name__c|"child2"|0x14996c80
11:46:59.392 (392536956)|STATEMENT_EXECUTE|[16]
11:46:59.392 (392552988)|HEAP_ALLOCATE|[16]|Bytes:4
11:46:59.392 (392575177)|VARIABLE_SCOPE_BEGIN|[16]|child11|grc__Business_Unit__c|true|false
11:46:59.392 (392588887)|VARIABLE_ASSIGNMENT|[16]|child11|{}|0x411691bf
11:46:59.392 (392593310)|STATEMENT_EXECUTE|[17]
11:46:59.392 (392597475)|HEAP_ALLOCATE|[17]|Bytes:7
11:46:59.392 (392669088)|VARIABLE_ASSIGNMENT|[17]|this.Name|"child11"|0x411691bf
11:46:59.392 (392676132)|STATEMENT_EXECUTE|[18]
11:46:59.392 (392747680)|VARIABLE_ASSIGNMENT|[18]|this.Risk__Sharing_Group_Name__c|"child11"|0x411691bf
11:46:59.392 (392754551)|STATEMENT_EXECUTE|[20]
11:46:59.392 (392770187)|HEAP_ALLOCATE|[20]|Bytes:4
11:46:59.392 (392789892)|VARIABLE_SCOPE_BEGIN|[20]|child21|grc__Business_Unit__c|true|false
11:46:59.392 (392803022)|VARIABLE_ASSIGNMENT|[20]|child21|{}|0x2d384e05
11:46:59.392 (392807251)|STATEMENT_EXECUTE|[21]
11:46:59.392 (392812223)|HEAP_ALLOCATE|[21]|Bytes:7
11:46:59.392 (392879253)|VARIABLE_ASSIGNMENT|[21]|this.Name|"child21"|0x2d384e05
11:46:59.392 (392886062)|STATEMENT_EXECUTE|[22]
11:46:59.392 (392957676)|VARIABLE_ASSIGNMENT|[22]|this.Risk__Sharing_Group_Name__c|"child21"|0x2d384e05
11:46:59.392 (392964383)|STATEMENT_EXECUTE|[24]
11:46:59.392 (392968902)|HEAP_ALLOCATE|[24]|Bytes:39
11:46:59.392 (392985390)|HEAP_ALLOCATE|[24]|Bytes:4
11:46:59.393 (393001650)|HEAP_ALLOCATE|[24]|Bytes:7
11:46:59.393 (393397876)|SOQL_EXECUTE_BEGIN|[24]|Aggregations:0|SELECT Id FROM User WHERE Id = :tmpVar1
11:46:59.395 (395451704)|SOQL_EXECUTE_END|[24]|Rows:1
11:46:59.395 (395473663)|HEAP_ALLOCATE|[24]|Bytes:8
11:46:59.395 (395489479)|HEAP_ALLOCATE|[24]|Bytes:29
11:46:59.395 (395605757)|HEAP_ALLOCATE|[24]|Bytes:8
11:46:59.395 (395616916)|HEAP_ALLOCATE|[24]|Bytes:30
11:46:59.395 (395699271)|HEAP_ALLOCATE|[24]|Bytes:8
11:46:59.395 (395708144)|VARIABLE_SCOPE_BEGIN|[24]|usr|User|true|false
